Datum	Zuletzt	Vol.
14.11.2022	16.496,2	420,87K
13.11.2022	16.324,5	210,80K
12.11.2022	16.795,2	192,91K
11.11.2022	17.049,9	466,35K
10.11.2022	17.589,1	720,74K
09.11.2022	15.886,9	869,57K
08.11.2022	18.527,4	865,10K
07.11.2022	20.589,0	414,24K
06.11.2022	20.916,3	242,26K
05.11.2022	21.301,6	261,23K
04.11.2022	21.145,9	499,50K
03.11.2022	20.206,4	347,23K
02.11.2022	20.154,4	420,23K
01.11.2022	20.483,5	302,72K
31.10.2022	20.496,3	327,47K
30.10.2022	20.626,3	207,63K
29.10.2022	20.809,8	276,54K
28.10.2022	20.594,4	318,90K
27.10.2022	20.292,9	365,49K
26.10.2022	20.769,5	427,99K
25.10.2022	20.082,7	371,54K
24.10.2022	19.331,5	286,94K
23.10.2022	19.571,2	180,63K
22.10.2022	19.204,8	118,24K
21.10.2022	19.162,6	294,66K
20.10.2022	19.042,9	253,20K
19.10.2022	19.123,9	209,28K
18.10.2022	19.328,2	290,07K
17.10.2022	19.548,2	248,40K
16.10.2022	19.261,9	140,95K
15.10.2022	19.068,7	123,66K
14.10.2022	19.181,8	400,45K
13.10.2022	19.379,8	455,13K
12.10.2022	19.154,8	242,18K
11.10.2022	19.059,1	288,57K
10.10.2022	19.134,6	243,77K
09.10.2022	19.441,0	127,53K
08.10.2022	19.415,0	113,50K
07.10.2022	19.531,3	263,50K
06.10.2022	19.956,7	370,60K
05.10.2022	20.157,5	352,76K
04.10.2022	20.340,2	368,17K
03.10.2022	19.628,3	333,03K
02.10.2022	19.052,2	222,82K
01.10.2022	19.311,9	173,91K
30.09.2022	19.423,0	490,29K
29.09.2022	19.593,0	449,57K
28.09.2022	19.411,0	581,19K
27.09.2022	19.081,0	660,12K
26.09.2022	19.225,7	516,03K
25.09.2022	18.803,2	209,71K
24.09.2022	18.925,2	258,50K
23.09.2022	19.293,5	431,15K
22.09.2022	19.404,0	448,63K
21.09.2022	18.489,0	446,85K
20.09.2022	18.872,4	361,18K
19.09.2022	19.538,9	423,43K
18.09.2022	19.418,8	273,11K
17.09.2022	20.113,5	204,58K
16.09.2022	19.802,4	315,59K
15.09.2022	19.701,7	358,42K
14.09.2022	20.222,5	374,22K
13.09.2022	20.175,5	485,32K
12.09.2022	22.395,3	431,98K
11.09.2022	21.834,9	297,12K
10.09.2022	21.650,4	331,12K
09.09.2022	21.365,2	480,37K
08.09.2022	19.317,4	291,43K
